variable,horizon,bin_low,bin_high,n_participants,sep_vintage
Change in real GDP,2025,1.2,1.3,1,previous
Change in real GDP,2025,1.4,1.5,8,previous
Change in real GDP,2025,1.4,1.5,1,current
Change in real GDP,2026,1.4,1.5,1,previous
Change in real GDP,2025,1.6,1.7,8,previous
Change in real GDP,2025,1.6,1.7,12,current
Change in real GDP,2026,1.6,1.7,4,previous
Change in real GDP,2027,1.6,1.7,2,previous
Change in real GDP,2028,1.6,1.7,6,previous
Change in real GDP,2028,1.6,1.7,1,current
Change in real GDP,Longer Run,1.6,1.7,6,previous
Change in real GDP,Longer Run,1.6,1.7,3,current
Change in real GDP,2025,1.8,1.9,5,current
Change in real GDP,2026,1.8,1.9,7,previous
Change in real GDP,2027,1.8,1.9,11,previous
Change in real GDP,2027,1.8,1.9,4,current
Change in real GDP,2028,1.8,1.9,8,previous
Change in real GDP,2028,1.8,1.9,10,current
Change in real GDP,Longer Run,1.8,1.9,8,previous
Change in real GDP,Longer Run,1.8,1.9,11,current
Change in real GDP,2025,2.0,2.1,2,previous
Change in real GDP,2025,2.0,2.1,1,current
Change in real GDP,2026,2.0,2.1,4,previous
Change in real GDP,2026,2.0,2.1,4,current
Change in real GDP,2027,2.0,2.1,4,previous
Change in real GDP,2027,2.0,2.1,9,current
Change in real GDP,2028,2.0,2.1,3,previous
Change in real GDP,2028,2.0,2.1,5,current
Change in real GDP,Longer Run,2.0,2.1,3,previous
Change in real GDP,Longer Run,2.0,2.1,3,current
Change in real GDP,2026,2.2,2.3,1,previous
Change in real GDP,2026,2.2,2.3,7,current
Change in real GDP,2027,2.2,2.3,4,current
Change in real GDP,2028,2.2,2.3,1,current
Change in real GDP,2026,2.4,2.5,1,previous
Change in real GDP,2026,2.4,2.5,7,current
Change in real GDP,2027,2.4,2.5,1,previous
Change in real GDP,2027,2.4,2.5,1,current
Change in real GDP,2028,2.4,2.5,1,previous
Change in real GDP,2028,2.4,2.5,1,current
Change in real GDP,Longer Run,2.4,2.5,2,previous
Change in real GDP,Longer Run,2.4,2.5,2,current
Change in real GDP,2026,2.6,2.7,1,previous
Change in real GDP,2026,2.6,2.7,1,current
Change in real GDP,2027,2.6,2.7,1,previous
Change in real GDP,2027,2.6,2.7,1,current
Change in real GDP,2028,2.6,2.7,1,previous
Change in real GDP,2028,2.6,2.7,1,current
Unemployment rate,Longer Run,3.8,3.9,2,previous
Unemployment rate,Longer Run,3.8,3.9,1,current
Unemployment rate,2026,4.0,4.1,1,previous
Unemployment rate,2027,4.0,4.1,2,previous
Unemployment rate,2027,4.0,4.1,3,current
Unemployment rate,2028,4.0,4.1,5,previous
Unemployment rate,2028,4.0,4.1,7,current
Unemployment rate,Longer Run,4.0,4.1,6,previous
Unemployment rate,Longer Run,4.0,4.1,7,current
Unemployment rate,2025,4.2,4.3,1,previous
Unemployment rate,2026,4.2,4.3,2,previous
Unemployment rate,2026,4.2,4.3,4,current
Unemployment rate,2027,4.2,4.3,11,previous
Unemployment rate,2027,4.2,4.3,15,current
Unemployment rate,2028,4.2,4.3,12,previous
Unemployment rate,2028,4.2,4.3,11,current
Unemployment rate,Longer Run,4.2,4.3,9,previous
Unemployment rate,Longer Run,4.2,4.3,9,current
Unemployment rate,2025,4.4,4.5,15,previous
Unemployment rate,2025,4.4,4.5,12,current
Unemployment rate,2026,4.4,4.5,13,previous
Unemployment rate,2026,4.4,4.5,14,current
Unemployment rate,2027,4.4,4.5,6,previous
Unemployment rate,2027,4.4,4.5,1,current
Unemployment rate,2028,4.4,4.5,2,previous
Unemployment rate,2028,4.4,4.5,1,current
Unemployment rate,Longer Run,4.4,4.5,2,previous
Unemployment rate,Longer Run,4.4,4.5,2,current
Unemployment rate,2025,4.6,4.7,3,previous
